plot.name,Elevation,Latitude,Longitude,TR
VG-VB-1,100,10.41687655,-84.02005729,0.0125435
VG-VB-2,150,10.40317124,-84.03752414,0.000388452
VG-VB-3,600,10.31604009,-84.04764224,-0.002312286
VG-VB-4,400,10.34471633,-84.05722811,0.005149714
VG-VB-5,2000,10.18234322,-84.10683221,0.026017
VG-VB-6,2800,10.13519869,-84.10806779,0.017154
VG-VB-7,975,10.26786978,-84.05528161,-0.008155
VG-VB-8,1450,10.24034256,-84.08500281,0.034675
VG-VB-9,70,10.43214216,-84.00985772,0.00324
VG-VB-10,2400,10.16,84.11,-0.00095
