full_citation,study,web_of_science,country,mountain,study_spatial_scale,latitude,longitude,historic_year,modern_year,duration,taxa_specific,taxa,thermy,temp_change,expected_shift_given_in_study,lapse_rate,expected_shift,species_level_data,sp_n,sp_n_mean,shift_mean,shift_mean_se,responsiveness_mean,sp_n_lower_limit,shift_lower_limit,shift_lower_limit_se,responsiveness_lower,sp_n_upper,shift_upper_limit,shift_upper_limit_se,responsiveness_upper,weighted_shift,weighted_se,responsiveness,extraction_notes,temp_change_and_exp_shift_notes
"Kelly, A. E., & Goulden, M. L. (2008). Rapid shifts in plant distribution with recent climate change. Proceedings of the National Academy of Sciences, 105(33), 11823-11826.",Kelly & Goulden 2008,yes,USA,Santa Rosa Mountains,local,33.494627,-116.330398,1977,2006-2007,29.5,plant,plant,plant,0.63,yes,provided in study: 0.73 C / 100 m,56,yes,10,10,64.9,17.21333462,1.158928571,NA,NA,NA,NA,NA,NA,NA,NA,64.9,17.21333462,1.158928571,data for mean elevation shift reported in main text,"""the mean temperatures in the climate regions straddled by the transect increased by 0.63 C during the study period..The average temperature lapse rate in the area is
 0.0073çC/m (Table S1), implying an upward shift of meantemperature of 56 m (Table 2)."""
"Freeman, B. G., Scholer, M. N., Ruiz-Gutierrez, V., & Fitzpatrick, J. W. (2018). Climate change causes upslope shifts and mountaintop extirpations in a tropical bird community. Proceedings of the National Academy of Sciences, 115(47), 11982-11987.",Freeman et al. 2018,yes,Peru,Cerro del Pantiacolla,local,-12.559726,-71.377239,1985,2017,32,bird,bird,endotherm,0.42,yes,provided in study: 0.51 C / 100 m,75,yes,66,65,40.22840677,12.11393583,0.536378757,48,117.0833333,24.47490815,1.561111111,66,78.78787879,17.27538523,1.050505051,75.05500804,17.33171422,1.000733441,"data for elevational limits (from all data sources) presented in Table S3, data for mean elevation shifts (from mist-netting data only) presented in Table S2. Note different sample sizes for different metrics (N = 108 for limits & N = 65 for mean elevation shifts)",Temperature change estimated using CRU data; authors report a local lapse rate of 0.51 C decrease in temperature per 100 m elevation; this equates to an expected upslope shift of 75 m
"Freeman, B. G., & Freeman, A. M. C. (2014). Rapid upslope shifts in New Guinean birds illustrate strong distributional responses of tropical montane species to global warming. Proceedings of the National Academy of Sciences, 111(12), 4490-4494.",Freeman & Class Freeman 2014 Karimui,yes,Papua New Guinea,Mt. Karimui,local,-6.568289,144.756381,1965,2012,47,bird,bird,endotherm,0.39,yes,provided in study: 0.51 C / 100 m,90,yes,138,NA,NA,NA,NA,54,94.03703704,25.68830207,1.044855967,138,106.2318841,16.54230218,1.180354267,102.8020833,19.11461465,1.14224537,data taken from Table S1 which provides species-level information,Temperature changes calculated using CRU data; Expected shift reported in text using locally measured lapse rate for Mt. Karimui ( 0.51 C decrease in temperature per 100 m elevation)
"Sheldon, A. L. (2012). Possible climate-induced shift of stoneflies in a southern Appalachian catchment. Freshwater Science, 31(3), 765-774.",Sheldon 2012,yes,USA,Great Smoky Mountains,local,35.561643,-83.499308,1977-1978,2006,38.5,stoneflies,arthropod,ectotherm,0.72,yes,provided in study: 0.53 - 0.70 C / 100 m (used midpoint = 0.615 C / 100 m),120,yes,2,2,44,23,0.366666667,1,-61,NA,-0.508333333,2,76.5,45.5,0.6375,36,34.25,0.3,data for elevation shifts reported in Table 2,"Author reports changes in temperature within the study region, and describe the expected shift as 100 - 140 m upslope; I report the midpoint value of 120 m expected shift. Author used lapse rates reported from this region of 0.53 to 0.7 C decrease per 100 m increase in elevation."
"Rumpf, S. B., H_lber, K., Klonner, G., Moser, D., Sch_tz, M., Wessely, J., ... & Dullinger, S. (2018). Range dynamics of mountain plants decrease with elevation. Proceedings of the National Academy of Sciences, 115(8), 1848-1853.",Rumpf et al. 2018,yes,several,European Alps,regional,47.127958,12.751379,1911-1970,2014-2015,74.5,plant,plant,plant,0.8,yes,provided in study: 0.6 C / 100 m,133,yes,183,183,33.93442623,13.31807121,0.255146062,183,29.81967213,13.88660861,0.224208061,183,19.48087432,7.512310366,0.146472739,27.74499089,11.57233006,0.208608954,"data for range shifts at optimum elevation (here reported as ""mean elevation"") reported in Table S1",Authors report temperature increase of 0.8 C in mean annual temperature & a lapse rate of 0.6 C / 100 m
"Forero-Medina, G., Terborgh, J., Socolar, S. J., & Pimm, S. L. (2011). Elevational ranges of birds on a tropical montane gradient lag behind warming temperatures. PLoS One, 6(12), e28535.",Forero-Medina et al. 2011,yes,Peru,Cerros del Sira,local,-11.614867,-73.692417,1969,2010,41,bird,bird,endotherm,0.79,yes,provided in study: 0.52 C / 100 m,152,yes,55,55,48.91854545,17.31602619,0.321832536,55,72.72727273,34.24850219,0.4784689,55,45.81818182,39.2468583,0.301435407,55.82133333,30.27046222,0.367245614,data for mean elevation shift reported in main text,"Authors calculated slope of temp change at site from 1952 to 2001, then multiplied the estimated change in temp per year by the number of years between original survey and resurvey. Expected shift reported in text using locally measured lapse rate; authors report the lapse rate as as 0.52 C decrease in temperature per 100 m elevation"
"Kopp, C. W., & Cleland, E. E. (2014). Shifts in plant species elevational range limits and abundances observed over nearly five decades in a western North America mountain range._Journal of Vegetation Science,_25(1), 135-146.",Kopp & Cleland 2014,yes,USA,White Mountains (California),local,37.497231,-118.168808,1961,2010,49,plant,plant,plant,0.98,yes,provided in study: 0.59 C / 100 m,163.66,yes,7,NA,NA,NA,NA,7,-64.28571429,91.75166128,-0.392800405,7,0,0,0,-32.14285714,45.87583064,-0.196400203,"data extracted from Figure 4 which presents abundances -- elevational limits extracted as lowest & highest elevations where species had density > 0. I summarized elevational limits across all three soil types - hence Kopp & Cleland discuss how Artemisia has expanded at its upper elevation limits from 3500 to 3650 m on granite soils, but, because this species was historically found up to 3650 m on quartzite soils, I code this species as not having any overall shift at its upper elevation limit",Authors report temperature change at this site & also present the expectation that a 1 degree C increase corresponds to a 167 m upslope shift (so a 0.98 C increase corresponds to a 163.66 m upslope shift)
"Menendez, R., Gonzalez-Megas, A., Jay-Robert, P., & Marquez Ferrando, R. (2014). Climate change and elevational range shifts: evidence from dung beetles in two E uropean mountain ranges. Global Ecology and Biogeography, 23(6), 646-657.",Menendez et al. 2014 SW Alps,yes,France,South-western Alps,local,45.58786,6.376966,1992-1993,2007,14.5,dung beetle,arthropod,ectotherm,0.6,yes,provided in study: 0.52 C / 100 m,164,yes,30,30,64.76666667,38.76245616,0.394918699,30,66.23333333,40.69563741,0.403861789,30,129,63.64295159,0.786585366,86.66666667,47.70034839,0.528455285,data for species' shifts in Table S3,This value is the average of changes in temperature from three weather stations in each region. Expected shift based on warming = 205 m. Authors report local lapse rate as a decline of 0.52 C per 100 m increase in elevation
"Bassler, C., Hothorn, T., Brandl, R., & M_ller, J. (2013). Insects overshoot the expected upslope shift caused by climate warming. Plos One, 8(6), e65842.",Bassler et al. 2013 diptera,no,Germany,Bavarian forest,regional,48.953336,13.379502,1902-1904,2006-2007,103.5,diptera,arthropod,ectotherm,0.97,yes,provided in study: 0.59 C / 100 m,165,yes,50,NA,NA,NA,NA,NA,NA,NA,NA,50,266.02,38.22370768,1.612242424,266.02,38.22370768,1.612242424,data for upper elevation shifts presented in Table S1,"Authors report a range of expected range shifts. The point estimate of 50 m (using one historic year and one modern year) is the least believable metric, as the historic year (1903) was abnormally warm and the modern year (2006) abnormally cold. The authors consider different ranges of years (5+) for historic and modern temperatures yields expectations between 130 m and 201 m upslope shift. Here I report the midpoint of this more believable range (= 165 m). Authors report the regional lapse rate as as 0.59 C decrease in temperature per 100 m elevation"
"Bassler, C., Hothorn, T., Brandl, R., & M_ller, J. (2013). Insects overshoot the expected upslope shift caused by climate warming. Plos One, 8(6), e65842.",Bassler et al. 2013 beetle,no,Germany,Bavarian forest,regional,48.953336,13.379502,1902-1904,2006-2007,103.5,beetle,arthropod,ectotherm,0.97,yes,provided in study: 0.59 C / 100 m,165,yes,322,NA,NA,NA,NA,NA,NA,NA,NA,322,274.0093168,15.27118148,1.660662526,274.0093168,15.27118148,1.660662526,data for upper elevation shifts presented in Table S1,"Authors report a range of expected range shifts. The point estimate of 50 m (using one historic year and one modern year) is the least believable metric, as the historic year (1903) was abnormally warm and the modern year (2006) abnormally cold. The authors consider different ranges of years (5+) for historic and modern temperatures yields expectations between 130 m and 201 m upslope shift. Here I report the midpoint of this more believable range (= 165 m). Authors report the regional lapse rate as as 0.59 C decrease in temperature per 100 m elevation"
