study,latin_name,historic_low_limit,historic_mean_limit,historic_upper_limit,modern_low_limit,modern_mean_elevation,modern_upper_limit,change_low_limit,change_mean_elevation,change_upper_limit
Angelo & Daehler 2013,Agrostis avenacea,1100,NA,1255,1095,NA,1120,-5,NA,-135
Angelo & Daehler 2013,Anthoxanthum odoratum,1188,NA,1589,1198,NA,2086,10,NA,497
Angelo & Daehler 2013,Chrysopogon aciculatus,5,NA,328,10,NA,290,5,NA,-38
Angelo & Daehler 2013,Cynodon dactylon,1184,NA,1217,1242,NA,1258,58,NA,41
Angelo & Daehler 2013,Dactylis glomerata,2028,NA,2048,1427,NA,2067,-601,NA,19
Angelo & Daehler 2013,Digitaria violascens,615,NA,1242,22,NA,47,-593,NA,-1195
Angelo & Daehler 2013,Heteropogon contortus,5,NA,55,22,NA,63,17,NA,8
Angelo & Daehler 2013,Holcus lanatus,1188,NA,1876,1198,NA,2067,10,NA,191
Angelo & Daehler 2013,Melinis minutiflora,327,NA,345,286,NA,1522,-41,NA,1177
Angelo & Daehler 2013,Melinis repens,55,NA,335,25,NA,1530,-30,NA,1195
Angelo & Daehler 2013,Panicum tenuifolium,1575,NA,1868,1340,NA,2000,-235,NA,132
Angelo & Daehler 2013,Paspalum dilatatum,1180,NA,1580,1425,NA,1695,245,NA,115
Angelo & Daehler 2013,Schizachyrium condensatum,1093,NA,1184,55,NA,1545,-1038,NA,361
Angelo & Daehler 2013,Setaria parviflora,930,NA,1095,985,NA,1100,55,NA,5
Angelo & Daehler 2013,Vulpia myuros,1102,NA,2143,1512,NA,1551,410,NA,-592
Archaux 2004 Giffre Valley,Aegithalos caudatus,NA,945,NA,NA,892,NA,NA,-53,NA
Archaux 2004 Giffre Valley,Certhia familiaris,NA,1094,NA,NA,1083,NA,NA,-11,NA
Archaux 2004 Giffre Valley,Dendrocopos major,NA,1023,NA,NA,838,NA,NA,-185,NA
Archaux 2004 Giffre Valley,Dryocopus martius,NA,1337,NA,NA,1260,NA,NA,-77,NA
Archaux 2004 Giffre Valley,Erithacus rubecula,NA,1000,NA,NA,1114,NA,NA,114,NA
Archaux 2004 Giffre Valley,Fringilla coelebs,NA,1082,NA,NA,1051,NA,NA,-31,NA
Archaux 2004 Giffre Valley,Garrulus glandarius,NA,1064,NA,NA,995,NA,NA,-69,NA
Archaux 2004 Giffre Valley,Nucifraga caryocatactes,NA,1302,NA,NA,1357,NA,NA,55,NA
Archaux 2004 Giffre Valley,Parus ater,NA,1138,NA,NA,1040,NA,NA,-98,NA
Archaux 2004 Giffre Valley,Parus caeruleus,NA,831,NA,NA,896,NA,NA,65,NA
Archaux 2004 Giffre Valley,Parus cristatus,NA,1239,NA,NA,1114,NA,NA,-125,NA
Archaux 2004 Giffre Valley,Parus major,NA,862,NA,NA,863,NA,NA,1,NA
Archaux 2004 Giffre Valley,Parus montanus,NA,1218,NA,NA,1314,NA,NA,96,NA
Archaux 2004 Giffre Valley,Parus palustris,NA,909,NA,NA,877,NA,NA,-32,NA
Archaux 2004 Giffre Valley,Phylloscopus collybita,NA,992,NA,NA,1055,NA,NA,63,NA
Archaux 2004 Giffre Valley,Pyrrhula pyrrhula,NA,1204,NA,NA,1189,NA,NA,-15,NA
Archaux 2004 Giffre Valley,Regulus ignicapillus,NA,1060,NA,NA,924,NA,NA,-136,NA
Archaux 2004 Giffre Valley,Regulus regulus,NA,1137,NA,NA,1178,NA,NA,41,NA
Archaux 2004 Giffre Valley,Sitta europaea,NA,892,NA,NA,878,NA,NA,-14,NA
Archaux 2004 Giffre Valley,Sylvia atricapilla,NA,997,NA,NA,1000,NA,NA,3,NA
Archaux 2004 Giffre Valley,Troglodytes troglodytes,NA,980,NA,NA,1034,NA,NA,54,NA
Archaux 2004 Giffre Valley,Turdus merula,NA,955,NA,NA,983,NA,NA,28,NA
Archaux 2004 Giffre Valley,Turdus philomelos,NA,1084,NA,NA,995,NA,NA,-89,NA
Archaux 2004 Giffre Valley,Turdus viscivorus,NA,1183,NA,NA,1150,NA,NA,-33,NA
Archaux 2004 Mont Ventoux,Certhia brachydactyla,NA,1098,NA,NA,1113,NA,NA,15,NA
Archaux 2004 Mont Ventoux,Erithacus rubecula,NA,1203,NA,NA,1126,NA,NA,-77,NA
Archaux 2004 Mont Ventoux,Fringilla coelebs,NA,1191,NA,NA,1118,NA,NA,-73,NA
Archaux 2004 Mont Ventoux,Garrulus glandarius,NA,914,NA,NA,887,NA,NA,-27,NA
Archaux 2004 Mont Ventoux,Loxia curvirostra,NA,1361,NA,NA,1319,NA,NA,-42,NA
Archaux 2004 Mont Ventoux,Luscinia megarhynchos,NA,487,NA,NA,483,NA,NA,-4,NA
Archaux 2004 Mont Ventoux,Parus ater,NA,1266,NA,NA,1239,NA,NA,-27,NA
Archaux 2004 Mont Ventoux,Parus caeruleus,NA,944,NA,NA,762,NA,NA,-182,NA
Archaux 2004 Mont Ventoux,Parus cristatus,NA,1261,NA,NA,1125,NA,NA,-136,NA
Archaux 2004 Mont Ventoux,Parus major,NA,661,NA,NA,759,NA,NA,98,NA
Archaux 2004 Mont Ventoux,Phylloscopus bonelli,NA,693,NA,NA,692,NA,NA,-1,NA
Archaux 2004 Mont Ventoux,Phylloscopus collybita,NA,1172,NA,NA,1198,NA,NA,26,NA
Archaux 2004 Mont Ventoux,Regulus ignicapillus,NA,1200,NA,NA,1185,NA,NA,-15,NA
Archaux 2004 Mont Ventoux,Sylvia atricapilla,NA,1035,NA,NA,1013,NA,NA,-22,NA
Archaux 2004 Mont Ventoux,Sylvia cantillans,NA,583,NA,NA,620,NA,NA,37,NA
Archaux 2004 Mont Ventoux,Troglodytes troglodytes,NA,1265,NA,NA,1290,NA,NA,25,NA
Archaux 2004 Mont Ventoux,Turdus merula,NA,999,NA,NA,1103,NA,NA,104,NA
Bassler et al. 2013 beetle,Abax parallelepipedus,NA,NA,950,NA,NA,1296,NA,NA,346
Bassler et al. 2013 beetle,Abax parallelus,NA,NA,700,NA,NA,803,NA,NA,103
Bassler et al. 2013 beetle,Absidia schoenherri,NA,NA,1320,NA,NA,1368,NA,NA,48
Bassler et al. 2013 beetle,Acalles camelus,NA,NA,680,NA,NA,1157,NA,NA,477
Bassler et al. 2013 beetle,Acidota cruentata,NA,NA,1050,NA,NA,1406,NA,NA,356
Bassler et al. 2013 beetle,Acrotrichis intermedia,NA,NA,1150,NA,NA,1287,NA,NA,137
Bassler et al. 2013 beetle,Acrotrichis sericans,NA,NA,750,NA,NA,987,NA,NA,237
Bassler et al. 2013 beetle,Acrotrichis thoracica,NA,NA,750,NA,NA,1108,NA,NA,358
Bassler et al. 2013 beetle,Acupalpus flavicollis,NA,NA,750,NA,NA,1108,NA,NA,358
Bassler et al. 2013 beetle,Agabus bipustulatus,NA,NA,700,NA,NA,737,NA,NA,37
Bassler et al. 2013 beetle,Agabus melanarius,NA,NA,1150,NA,NA,1323,NA,NA,173
Bassler et al. 2013 beetle,Agathidium bohemicum,NA,NA,1050,NA,NA,818,NA,NA,-232
Bassler et al. 2013 beetle,Agathidium dentatum,NA,NA,950,NA,NA,795,NA,NA,-155
Bassler et al. 2013 beetle,Agathidium nigripenne,NA,NA,950,NA,NA,1102,NA,NA,152
Bassler et al. 2013 beetle,Agonum muelleri,NA,NA,680,NA,NA,1080,NA,NA,400
Bassler et al. 2013 beetle,Agonum sexpunctatum,NA,NA,680,NA,NA,1340,NA,NA,660
Bassler et al. 2013 beetle,Agrilus viridis,NA,NA,1050,NA,NA,1090,NA,NA,40
Bassler et al. 2013 beetle,Agrypnus murina,NA,NA,950,NA,NA,834,NA,NA,-116
Bassler et al. 2013 beetle,Aleochara lanuginosa,NA,NA,750,NA,NA,1105,NA,NA,355
Bassler et al. 2013 beetle,Alosterna tabacicolor,NA,NA,700,NA,NA,1084,NA,NA,384
Bassler et al. 2013 beetle,Altica oleracea,NA,NA,680,NA,NA,1252,NA,NA,572
Bassler et al. 2013 beetle,Amara communis,NA,NA,680,NA,NA,1161,NA,NA,481
Bassler et al. 2013 beetle,Amara familiaris,NA,NA,700,NA,NA,1154,NA,NA,454
Bassler et al. 2013 beetle,Amara lunicollis,NA,NA,1050,NA,NA,1368,NA,NA,318
Bassler et al. 2013 beetle,Amischa analis,NA,NA,1320,NA,NA,1350,NA,NA,30
Bassler et al. 2013 beetle,Ampedus aethiops,NA,NA,1320,NA,NA,1380,NA,NA,60
Bassler et al. 2013 beetle,Ampedus nigrinus,NA,NA,700,NA,NA,1368,NA,NA,668
Bassler et al. 2013 beetle,Ampedus sanguineus,NA,NA,680,NA,NA,723,NA,NA,43
Bassler et al. 2013 beetle,Amphichroum canaliculatum,NA,NA,1150,NA,NA,1420,NA,NA,270
Bassler et al. 2013 beetle,Anaspis frontalis,NA,NA,950,NA,NA,1420,NA,NA,470
Bassler et al. 2013 beetle,Anaspis rufilabris,NA,NA,700,NA,NA,1420,NA,NA,720
Bassler et al. 2013 beetle,Anastrangalia sanguinolenta,NA,NA,680,NA,NA,1350,NA,NA,670
Bassler et al. 2013 beetle,Anatis ocellata,NA,NA,1050,NA,NA,1368,NA,NA,318
Bassler et al. 2013 beetle,Ancistronycha cyanipennis,NA,NA,800,NA,NA,1108,NA,NA,308
Bassler et al. 2013 beetle,Anisotoma castanea,NA,NA,1050,NA,NA,1320,NA,NA,270
Bassler et al. 2013 beetle,Anisotoma humeralis,NA,NA,800,NA,NA,1320,NA,NA,520
Bassler et al. 2013 beetle,Anobium pertinax,NA,NA,680,NA,NA,1203,NA,NA,523
Bassler et al. 2013 beetle,Anoplotrupes stercorosus,NA,NA,1450,NA,NA,1350,NA,NA,-100
Bassler et al. 2013 beetle,Anoplus plantaris,NA,NA,680,NA,NA,1334,NA,NA,654
Bassler et al. 2013 beetle,Anotylus rugosus,NA,NA,700,NA,NA,1319,NA,NA,619
Bassler et al. 2013 beetle,Anotylus tetracarinatus,NA,NA,700,NA,NA,1319,NA,NA,619
Bassler et al. 2013 beetle,Anthaxia quadripunctata,NA,NA,1320,NA,NA,1286,NA,NA,-34
Bassler et al. 2013 beetle,Anthobium melanocephalum,NA,NA,950,NA,NA,1320,NA,NA,370
Bassler et al. 2013 beetle,Anthonomus rubi,NA,NA,700,NA,NA,1141,NA,NA,441
Bassler et al. 2013 beetle,Anthophagus alpestris,NA,NA,1450,NA,NA,1420,NA,NA,-30
Bassler et al. 2013 beetle,Anthophagus omalinus,NA,NA,1450,NA,NA,1420,NA,NA,-30
Bassler et al. 2013 beetle,Anthribus albinus,NA,NA,680,NA,NA,1287,NA,NA,607
Bassler et al. 2013 beetle,Aphidecta obliterata,NA,NA,680,NA,NA,1334,NA,NA,654
Bassler et al. 2013 beetle,Aphodius depressus,NA,NA,800,NA,NA,1333,NA,NA,533
Bassler et al. 2013 beetle,Aphodius fimetarius,NA,NA,1320,NA,NA,1102,NA,NA,-218
Bassler et al. 2013 beetle,Aphodius granarius,NA,NA,800,NA,NA,740,NA,NA,-60
Bassler et al. 2013 beetle,Aphodius piceus,NA,NA,1320,NA,NA,1380,NA,NA,60
Bassler et al. 2013 beetle,Aphodius prodromus,NA,NA,950,NA,NA,1262,NA,NA,312
Bassler et al. 2013 beetle,Aphodius rufipes,NA,NA,800,NA,NA,1333,NA,NA,533
Bassler et al. 2013 beetle,Aphodius rufus,NA,NA,700,NA,NA,1262,NA,NA,562
Bassler et al. 2013 beetle,Arhopalus rusticus,NA,NA,680,NA,NA,827,NA,NA,147
Bassler et al. 2013 beetle,Asiorestia femorata,NA,NA,1050,NA,NA,1333,NA,NA,283
Bassler et al. 2013 beetle,Asiorestia ferruginea,NA,NA,680,NA,NA,1154,NA,NA,474
Bassler et al. 2013 beetle,Atheta coriaria,NA,NA,950,NA,NA,742,NA,NA,-208
Bassler et al. 2013 beetle,Atheta crassicornis,NA,NA,950,NA,NA,1320,NA,NA,370
Bassler et al. 2013 beetle,Atheta fungi,NA,NA,1320,NA,NA,1219,NA,NA,-101
Bassler et al. 2013 beetle,Atheta gagatina,NA,NA,680,NA,NA,964,NA,NA,284
Bassler et al. 2013 beetle,Atheta laevana,NA,NA,750,NA,NA,1163,NA,NA,413
Bassler et al. 2013 beetle,Atheta longicornis,NA,NA,750,NA,NA,1216,NA,NA,466
Bassler et al. 2013 beetle,Atheta myrmecobia,NA,NA,800,NA,NA,1182,NA,NA,382
Bassler et al. 2013 beetle,Atheta pallidicornis,NA,NA,680,NA,NA,800,NA,NA,120
Bassler et al. 2013 beetle,Atheta picipes,NA,NA,1450,NA,NA,793,NA,NA,-657
Bassler et al. 2013 beetle,Atheta sodalis,NA,NA,950,NA,NA,1368,NA,NA,418
Bassler et al. 2013 beetle,Athous subfuscus,NA,NA,950,NA,NA,1420,NA,NA,470
Bassler et al. 2013 beetle,Athous vittatus,NA,NA,950,NA,NA,1090,NA,NA,140
Bassler et al. 2013 beetle,Athous zebei,NA,NA,950,NA,NA,1420,NA,NA,470
Bassler et al. 2013 beetle,Atomaria nigriventris,NA,NA,680,NA,NA,1108,NA,NA,428
Bassler et al. 2013 beetle,Bembidion lampros,NA,NA,700,NA,NA,1182,NA,NA,482
Bassler et al. 2013 beetle,Bembidion mannerheimii,NA,NA,1320,NA,NA,1182,NA,NA,-138
Bassler et al. 2013 beetle,Bembidion quadrimaculatum,NA,NA,680,NA,NA,1262,NA,NA,582
Bassler et al. 2013 beetle,Bibloporus bicolor,NA,NA,750,NA,NA,1184,NA,NA,434
Bassler et al. 2013 beetle,Bolitophagus reticulatus,NA,NA,950,NA,NA,1203,NA,NA,253
Bassler et al. 2013 beetle,Bryaxis nodicornis,NA,NA,680,NA,NA,926,NA,NA,246
Bassler et al. 2013 beetle,Byrrhus glabratus,NA,NA,950,NA,NA,1420,NA,NA,470
Bassler et al. 2013 beetle,Byrrhus pilula,NA,NA,750,NA,NA,1253,NA,NA,503
Bassler et al. 2013 beetle,Byturus tomentosus,NA,NA,750,NA,NA,1334,NA,NA,584
Bassler et al. 2013 beetle,Calathus melanocephalus,NA,NA,1320,NA,NA,1161,NA,NA,-159
Bassler et al. 2013 beetle,Calathus micropterus,NA,NA,1320,NA,NA,1406,NA,NA,86
Bassler et al. 2013 beetle,Callidium violaceum,NA,NA,680,NA,NA,1226,NA,NA,546
Bassler et al. 2013 beetle,Calvia quatuordecimguttata,NA,NA,680,NA,NA,1150,NA,NA,470
Bassler et al. 2013 beetle,Cantharis livida,NA,NA,950,NA,NA,944,NA,NA,-6
Bassler et al. 2013 beetle,Cantharis nigricans,NA,NA,950,NA,NA,1182,NA,NA,232
Bassler et al. 2013 beetle,Cantharis obscura,NA,NA,1320,NA,NA,674,NA,NA,-646
Bassler et al. 2013 beetle,Cantharis pagana,NA,NA,950,NA,NA,1284,NA,NA,334
Bassler et al. 2013 beetle,Cantharis pellucida,NA,NA,1050,NA,NA,1007,NA,NA,-43
Bassler et al. 2013 beetle,Carabus auronitens,NA,NA,1320,NA,NA,1420,NA,NA,100
Bassler et al. 2013 beetle,Carabus convexus,NA,NA,750,NA,NA,674,NA,NA,-76
Bassler et al. 2013 beetle,Carabus glabratus,NA,NA,1150,NA,NA,1368,NA,NA,218
Bassler et al. 2013 beetle,Carabus linnei,NA,NA,800,NA,NA,1396,NA,NA,596
Bassler et al. 2013 beetle,Carabus silvestris,NA,NA,1150,NA,NA,1420,NA,NA,270
Bassler et al. 2013 beetle,Carabus violaceus,NA,NA,1450,NA,NA,1352,NA,NA,-98
Bassler et al. 2013 beetle,Catops tristis,NA,NA,1050,NA,NA,1420,NA,NA,370
Bassler et al. 2013 beetle,Cerylon fagi,NA,NA,1050,NA,NA,944,NA,NA,-106
Bassler et al. 2013 beetle,Cerylon ferrugineum,NA,NA,750,NA,NA,1090,NA,NA,340
Bassler et al. 2013 beetle,Cerylon histeroides,NA,NA,700,NA,NA,810,NA,NA,110
Bassler et al. 2013 beetle,Ceutorhynchus erysimi,NA,NA,750,NA,NA,1182,NA,NA,432
Bassler et al. 2013 beetle,Chrysolina fastuosa,NA,NA,1150,NA,NA,1090,NA,NA,-60
Bassler et al. 2013 beetle,Cis boleti,NA,NA,1050,NA,NA,1157,NA,NA,107
Bassler et al. 2013 beetle,Cis castaneus,NA,NA,1050,NA,NA,1312,NA,NA,262
Bassler et al. 2013 beetle,Cis dentatus,NA,NA,1050,NA,NA,1304,NA,NA,254
Bassler et al. 2013 beetle,Cis glabratus,NA,NA,750,NA,NA,1139,NA,NA,389
Bassler et al. 2013 beetle,Cis jacquemartii,NA,NA,750,NA,NA,1128,NA,NA,378
Bassler et al. 2013 beetle,Cis nitidus,NA,NA,680,NA,NA,1090,NA,NA,410
Bassler et al. 2013 beetle,Coccinella septempunctata,NA,NA,1450,NA,NA,1368,NA,NA,-82
Bassler et al. 2013 beetle,Corticarina fuscula,NA,NA,800,NA,NA,1306,NA,NA,506
Bassler et al. 2013 beetle,Corymbia maculicornis,NA,NA,800,NA,NA,936,NA,NA,136
Bassler et al. 2013 beetle,Corymbia rubra,NA,NA,750,NA,NA,1340,NA,NA,590
Bassler et al. 2013 beetle,Cratosilis denticollis,NA,NA,1320,NA,NA,1380,NA,NA,60
