spcd,common_name,Genus,Species,Gensp,sp.opt_mat.7080,sp.opt_tap.7080,sp_N.7080,gn.opt_mat.7080,gn.opt_tap.7080,gn_N.7080,MAT.best.7080,TAP.best.7080,sp.opt_mat.8090,sp.opt_tap.8090,sp_N.8090,gn.opt_mat.8090,gn.opt_tap.8090,gn_N.8090,MAT.best.8090,TAP.best.8090,sp.opt_mat.9000,sp.opt_tap.9000,sp_N.9000,gn.opt_mat.9000,gn.opt_tap.9000,gn_N.9000,MAT.best.9000,TAP.best.9000,sp.opt_mat.0010,sp.opt_tap.0010,sp_N.0010,gn.opt_mat.0010,gn.opt_tap.0010,gn_N.0010,MAT.best.0010,TAP.best.0010
317,silver maple,Acer,saccharinum,Acer saccharinum,165.0762024,1226,313,164.2214355,1239,72860,165.0762024,1226,131.1238098,977,2153,162.2880859,1236,143201,131.1238098,977,99.79762268,960,1556,143.0333252,1210,199848,99.79762268,960,94.80713654,857,13573,81.51190948,990,684268,94.80713654,857
461,sugarberry,Celtis,laevigata,Celtis laevigata,177.8857117,1304,3816,176.4714355,1296,4964,177.8857117,1304,176.5214386,1301,4000,166.7571411,1241,8842,176.5214386,1301,174.092865,1279,5932,174.0523682,1266,9989,174.092865,1279,178.3714294,1250,12605,159.0642853,1116,27463,178.3714294,1250
313,boxelder,Acer,negundo,Acer negundo,170.7452393,1258,1779,164.2214355,1239,72860,170.7452393,1258,155.638092,1154,3945,162.2880859,1236,143201,155.638092,1154,148.9904785,1080,7132,143.0333252,1210,199848,148.9904785,1080,115.8047638,942,19369,81.51190948,990,684268,115.8047638,942
682,red mulberry,Morus,rubra,Morus rubra,169.6833267,1281,1418,169.7333298,1276,1468,169.6833267,1281,148.4857025,1169,2183,149.6047668,1164.5,2238,148.4857025,1169,171.5476227,1279,1879,171.6142883,1278,1949,171.5476227,1279,136.2452393,1038,7028,136.2761841,1037,7062,136.2452393,1038
404,pecan,Carya,illinoinensis,Carya illinoinensis,176.6000061,1303,458,157.2738037,1197,4889,176.6000061,1303,174.6666718,1263,648,134.2880859,1084,22307,174.6666718,1263,180.1976166,1257.5,922,153.5452423,1302,43513,180.1976166,1257.5,178.0071411,1092,2218,144.769043,1191,136680,178.0071411,1092
131,loblolly pine,Pinus,taeda,Pinus taeda,174.1047668,1268,189258,174.092865,1277,386107,174.1047668,1268,174.2714233,1272,247439,173.5761871,1268,534215,174.2714233,1272,176.0523834,1274,332574,172.5571442,1261,664985,176.0523834,1274,176.1404724,1279,571931,164.1904907,1213,1188378,176.1404724,1279
971,winged elm,Ulmus,alata,Ulmus alata,169.7202301,1269,8536,170.5428467,1278,14236,169.7202301,1269,165.6500092,1264,11973,149.7166748,1155,29628,165.6500092,1264,168.9333344,1269,13458,161.3333282,1205.5,29184,168.9333344,1269,169.1785889,1236,35987,136.2547607,1059,122187,169.1785889,1236
802,white oak,Quercus,alba,Quercus alba,153.7904816,1230,48849,165.9857178,1266,276616,153.7904816,1230,147.4666748,1198,81012,159.7880859,1227,479067,147.4666748,1198,150.5619049,1244,69069,161.2023926,1254,452642,150.5619049,1244,139.7142944,1167,134763,143.1261902,1170,747788,139.7142944,1167
409,mockernut hickory,Carya,alba,Carya alba,154.9273834,1128,792,157.2738037,1197,4889,154.9273834,1128,135.2619019,1095,4154,134.2880859,1084,22307,135.2619019,1095,156.2142792,1301,13340,153.5452423,1302,43513,156.2142792,1301,153.3857117,1247,38746,144.769043,1191,136680,153.3857117,1247
813,cherrybark oak,Quercus,pagoda,Quercus pagoda,178.5833435,1293,5190,165.9857178,1266,276616,178.5833435,1293,177.3333435,1298,6346,159.7880859,1227,479067,177.3333435,1298,179.2833252,1302,6160,161.2023926,1254,452642,179.2833252,1302,179.1190491,1294,8056,143.1261902,1170,747788,179.1190491,1294
762,black cherry,Prunus,serotina,Prunus serotina,163.7476196,1239,6341,158.4738007,1207,7944,163.7476196,1239,163.7857056,1232,16399,161.1095276,1220,19002,163.7857056,1232,159.5666656,1244,23937,154.8523865,1226,29057,159.5666656,1244,100.1654778,1052,94792,97.89524078,1045,105657,100.1654778,1052
316,red maple,Acer,rubrum,Acer rubrum,166.1618958,1239,65198,164.2214355,1239,72860,166.1618958,1239,167.0404816,1245,121046,162.2880859,1236,143201,167.0404816,1245,150.7595215,1225,152660,143.0333252,1210,199848,150.7595215,1225,90.90238953,1080,406096,81.51190948,990,684268,90.90238953,1080
611,sweetgum,Liquidambar,styraciflua,Liquidambar styraciflua,174.3904877,1257,98990,174.3904877,1257,98990,174.3904877,1257,173.9071503,1257,145062,173.9071503,1257,145062,173.9071503,1257,174.1690369,1263,147066,174.1690369,1263,147069,174.1690369,1263,173.6190491,1268,191352,173.6190491,1268,191358,173.6190491,1268
