Country,Project,PI,Plot name,Latitude,Longitude,Elevation (m a.s.l.),Plot size (ha),mean CTI C  ?,MAT C  ?,Number Census,Trplot
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",ab,-24.12869,-64.57446,654,1,21.21,20.09,2,-0.007228441
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",acI,-22.01611111,-63.90483333,1181,1,21.05,19.34,1,
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",acII,-22.04480556,-63.91527778,1014,1,21.36,19.97,1,
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",ag,-23.12134,-64.47196,465,1,21.69,21.73,2,-5.41789E-07
Ecuador,CONDESAN,"Francisco Cuesta, Manuel Peralvo, Esteban Pinto",Ahuano_01,-1.065027,-77.494347,439,0.36,23.8,23.84,1,
Ecuador,CONDESAN,"Francisco Cuesta, Manuel Peralvo, Esteban Pinto",Ahuano_02,-1.065206,-77.497014,473,0.36,24.12,23.67,1,
Ecuador,CONDESAN,"Francisco Cuesta, Manuel Peralvo, Esteban Pinto",Ahuano_03,-1.063037,-77.496564,407,0.36,23.86,24,1,
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",ai,-24.0058,-64.93721667,735,1,21.78,19.4,2,-0.000270913
Colombia,Antioquia,Alvaro Duque,Angelópolis,6.15,-75.7,2027,1,19.85,18.28,4,0.021659939
Colombia,Antioquia,Alvaro Duque,Anorí,6.99,-75.14,1740,1,22.21,19.26,3,0.008555345
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",ap,-23.05965,-64.85141667,1984,1,16.59,15.44,2,0.00311994
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",ba,-22.46083333,-64.74183333,1684,1,18.1,17.3,2,-0.01130058
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",ba_a,-22.46333333,-64.73769444,1973,1,17.04,16.36,2,0.00216134
Colombia,Antioquia,Alvaro Duque,Belmira,6.61,-75.65,2928,1,16.4,12.1,3,0.009006783
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",bla,-23.08709,-64.84767,2134,1,16.33,14.99,2,0.002737764
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",bmI,-22.12736111,-63.90188889,829,1,21.58,20.68,2,0.011805816
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",bmII,-22.10466667,-63.90008333,778,1,21.02,20.9,2,-0.002952613
Argentina,IER,Julieta Carilla,Bosque de mirtaceas I,-26.70049,-65.33583,1752,0.48,16.83,14.66,4,-0.028353371
Argentina,IER,Julieta Carilla,Bosque de mirtaceas II,-26.71375,-65.3372,1607,0.4,17.52,15.25,4,-0.002435205
Colombia,Antioquia,Alvaro Duque,Caicedo,6.38,-76.03,2646,1,18.44,14.48,2,-0.002108369
Peru,ABERG,"Miles Silman, Yadvinder Malhi, William Farfan-Rios ",CAL-01,-12.805453,-71.776727,1500,1,22.04,20.65,4,0.010514998
Peru,ABERG,"Miles Silman, Yadvinder Malhi, William Farfan-Rios ",CAL-02,-12.804469,-71.782827,1250,1,22.07,21.9,4,-0.007271972
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",cb,-23.08536667,-64.7474,1136,1,21.4,18.78,2,-0.004462159
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",cc,-22.62672222,-64.44547222,572,1,22.21,21.79,2,0.001071777
Peru,Peru,Ken Young,ChochosContinuousForest,-7.642442,-77.48006,3450,1,15.02,10.46,1,
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",cn,-22.92442,-64.1412,619,1,21.55,21.46,1,
Ecuador,Parcelas de Monitoreo Universidad Nacional de Loja,"Nikolay Aguirre, Zhofre Aguirre, Selene Baez",Colorado,-3.99025,-79.965,1500,1,21.35,20.23,2,0.004213023
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",cr,-24.10745,-65.48538,2140,1,17.21,14.17,1,
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",es,-24.12401667,-65.09565,1548,1,18.63,16.37,2,0.008480653
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",fo,-23.99355,-65.06491667,1084,1,20.98,17.83,1,
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",ho,-24.1946,-65.14035,1159,1,18.95,17.44,1,
Colombia,Antioquia,Alvaro Duque,Jardín,5.49,-75.9,2527,1,19.13,14.1,2,0.009780888
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",km25,-22.27391667,-63.83927778,845,1,21.28,20.52,2,0.016369539
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",km34,-22.21775,-63.88130556,827,1,21.68,20.68,2,-0.003755804
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",km55,-22.12622,-63.94933,990,1,21.64,19.9,1,
Argentina,IER,Oriana Osinaga A.,Ladera Norte,-26.7647,-65.3302,910,1.12,21.08,18.4,4,-0.015550253
Argentina,IER,Oriana Osinaga A.,Ladera Sur,-26.7646,-65.3302,886,1.08,20.12,18.52,4,-0.000448546
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",lc,-23.08431667,-64.79998333,1486,1,19.89,17.21,2,0.011049636
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",li,-22.43547222,-64.73177778,1175,1,20.13,19.39,2,-0.011458731
Ecuador,Parcelas de Monitoreo Universidad Nacional de Loja,"Nikolay Aguirre, Zhofre Aguirre, Selene Baez",Limo,-3.98436,-80.1399,1380,1,21.33,20.42,2,0.02581361
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",lq,-23.77426,-64.45872,473,1,21.79,21.29,1,
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",ma,-23.09299,-64.74106,982,1,20.71,19.5,2,-0.001613608
Colombia,Antioquia,Alvaro Duque,Maceo,6.46,-74.79,928,1,23.24,23.42,2,0.004811893
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",me,-23.69939,-64.86783,1082,1,21.18,18.53,2,0.014897199
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",mo,-23.68209,-64.90258,1747,1,18.02,15.56,2,-0.002851221
Argentina,FPY,"Lucio Malizia, Cecilia Blundo",ms,-22.20919444,-63.9415,996,1,21.45,19.94,2,0.010719022
Ecuador,Selene Baez,Selene Baez,MS1.1,-2.23221,-78.44346758,2884,0.04,16.34,13.08,1,
Ecuador,Selene Baez,Selene Baez,MS1.10,-2.19439,-78.35598021,2530,0.04,17.45,15.02,1,
Ecuador,Selene Baez,Selene Baez,MS1.11,-2.20078,-78.48303758,3266,0.04,10.32,10.43,1,
Ecuador,Selene Baez,Selene Baez,MS1.12,-2.20118,-78.48273042,3261,0.04,14.46,10.45,1,
Ecuador,Selene Baez,Selene Baez,MS1.13,-2.20157,-78.48245133,3268,0.04,15.41,10.42,1,
Ecuador,Selene Baez,Selene Baez,MS1.14,-2.19801,-78.4834668,3257,0.04,15.4,10.15,1,
Ecuador,Selene Baez,Selene Baez,MS1.15,-2.19864,-78.48365744,3270,0.04,15.89,10.08,1,
Ecuador,Selene Baez,Selene Baez,MS1.2,-2.23132,-78.4438313,2873,0.04,17.05,13.14,1,
Ecuador,Selene Baez,Selene Baez,MS1.3,-2.22309,-78.44400758,2866,0.04,16.77,13.04,1,
Ecuador,Selene Baez,Selene Baez,MS1.4,-2.20385,-78.4550617,2859,0.04,15.87,13.05,1,
Ecuador,Selene Baez,Selene Baez,MS1.5,-2.20378,-78.45379911,2878,0.04,17.41,12.95,1,
Ecuador,Selene Baez,Selene Baez,MS1.6,-2.20382,-78.36492483,2296,0.04,20.86,16.16,1,
Ecuador,Selene Baez,Selene Baez,MS1.7,-2.20475,-78.36771087,2399,0.04,18.88,15.63,1,
Ecuador,Selene Baez,Selene Baez,MS1.8,-2.20497,-78.36673436,2361,0.04,17.52,15.82,1,
Ecuador,Selene Baez,Selene Baez,MS1.9,-2.20482,-78.36736645,2385,0.04,18.31,15.7,1,
Ecuador,CONDESAN,"Francisco Cuesta, Manuel Peralvo, Esteban Pinto",Mushullacta_01,-0.815412,-77.585493,983,0.36,23.87,21.34,1,
