response,predictor,coef,se,t,p,lower,upper
Warming rate,Intercept,0.1858764022919265,0.018489081439768115,10.053306482393737,9.138677177607725e-22,0.149637802669981,0.222115001913872
Warming rate,Latitudinal zone,0.09846749011762622,0.014230492350771746,6.919471771634531,1.405789435600076e-11,0.07057572511011359,0.12635925512513885
Warming rate,Elevation (km),0.01855156382743134,0.004483272455640436,4.13795146536131,4.116700622819727e-5,0.009764349814376084,0.02733877784048659
Warming rate,Intercept,0.23055706902877482,0.0230181531524021,10.01631484082443,1.2479292295795662e-21,0.1854414888500667,0.2756726492074829
Warming rate,Absolute latitude (°),0.0013129170471870744,4.796979856448381e-4,2.7369659378956417,0.006423464271788743,3.7270899532319173e-4,0.002253125099050957
Warming rate,Elevation (km),0.01640401631499427,0.00474373457958275,3.458038395655167,5.909484320461331e-4,0.007106296539012081,0.02570173609097646
Thermophilization rate,Intercept,0.11704138355063588,0.049965984456852644,2.342421245631719,0.019553580635189062,0.019108054015204698,0.21497471308606708
Thermophilization rate,Latitudinal zone,-0.0828714032070519,0.038457322064829366,-2.154892716329847,0.03165088359475763,-0.15824775445411746,-0.007495051959986343
Thermophilization rate,Elevation (km),-0.012708998460221764,0.012115859977367003,-1.048955541246166,0.29470941989015254,-0.03645608401586109,0.01103808709541756
Thermophilization rate,Intercept,0.16462353004887145,0.05973140536357482,2.7560632308387234,0.006065555390781764,0.04754997553626482,0.2816970845614781
Thermophilization rate,Absolute latitude (°),-0.0032117182249474336,0.0012448016417972276,-2.580104425561649,0.010163530231442003,-0.00565152944287,-7.719070070248677e-4
Thermophilization rate,Elevation (km),-0.016213883878851965,0.01230984654850495,-1.3171475221046656,0.1883973417550081,-0.040341183113921666,0.00791341535621774
Temperature tracking score_1,Intercept,0.704117476327539,0.19433323510729353,3.6232478502135157,3.2091901460433057e-4,0.32322433551724367,1.0850106171378342
Temperature tracking score_1,Latitudinal zone,-0.014685645952706845,0.004049901867650725,-3.6261732833604983,3.174003869468754e-4,-0.022623453613302265,-0.006747838292111423
Temperature tracking score_1,Elevation (km),-0.06408182067438892,0.04004948969645155,-1.6000658475323013,0.11022070227256758,-0.14257882047943396,0.014415179130656125
Temperature tracking score_2,Intercept,0.704117476327539,0.19433323510729353,3.6232478502135157,3.2091901460433057e-4,0.32322433551724367,1.0850106171378342
Temperature tracking score_2,Absolute latitude (°),-0.014685645952706845,0.004049901867650725,-3.6261732833604983,3.174003869468754e-4,-0.022623453613302265,-0.006747838292111423
Temperature tracking score_2,Elevation (km),-0.06408182067438892,0.04004948969645155,-1.6000658475323013,0.11022070227256758,-0.14257882047943396,0.014415179130656125
