response,predictor,coef,se,t,p,lower,upper
Warming rate,Intercept,0.18650272860322523,0.024075665613936353,7.7465242952729385,2.2834173812704037e-13,0.13931442399990998,0.23369103320654047
Warming rate,Latitudinal zone,0.09671446003269948,0.016098831280635332,6.007545414121683,6.523807504396224e-9,0.06516075072265423,0.12826816934274474
Warming rate,Elevation (km),0.018196026200390732,0.006695586858288647,2.7176148387747943,0.0070297579013388,0.005072675958144986,0.03131937644263648
Warming rate,Intercept,0.20646104159170225,0.029821302469987175,6.923273783882822,3.621194453752057e-11,0.14801128875052738,0.26491079443287713
Warming rate,Absolute latitude (°),0.001806368338436415,5.661970494097819e-4,3.1903527938187226,0.0016003854421572212,6.966221215932425e-4,0.0029161145552795875
Warming rate,Elevation (km),0.017174310823025906,0.007152151580329481,2.4012789200749474,0.01706011905026362,0.0031560937255801225,0.03119252792047169
Thermophilization rate,Intercept,0.1031907925075191,0.04473537401954111,2.3066934114028808,0.02188031115487309,0.015509459429218525,0.19087212558581967
Thermophilization rate,Latitudinal zone,-0.08005494320696956,0.02991349232703386,-2.676215211910283,0.007932216893226809,-0.13868538816795592,-0.021424498245983185
Thermophilization rate,Elevation (km),-0.0048466331344406465,0.012441175549887613,-0.38956392143220164,0.69718675443446,-0.029231337212220366,0.019538070943339075
Thermophilization rate,Intercept,0.1367606464808573,0.05283359444677968,2.5885167933940023,0.010196728266487747,0.03320680136516914,0.2403144915965455
Thermophilization rate,Absolute latitude (°),-0.0027505470234942325,0.0010031159878066485,-2.7420029756562934,0.0065425941329308,-0.004716654359595264,-7.844396873932014e-4
Thermophilization rate,Elevation (km),-0.008050474070757272,0.01267127337545101,-0.6353326798515804,0.5257856641762826,-0.03288616988664125,0.016785221745126706
Temperature tracking score_1,Intercept,0.6306755638533809,0.20569109850352169,3.0661295916146947,0.0024036503609550916,0.22752101078647835,1.0338301169202833
Temperature tracking score_1,Latitudinal zone,-0.013374638593013091,0.0039053187961594063,-3.4247238935182613,7.178546069207855e-4,-0.021029063433485526,-0.005720213752540655
Temperature tracking score_1,Elevation (km),-0.038510904187496565,0.04933164527925102,-0.7806531480857445,0.43573631431163884,-0.13520092893482857,0.058179120559835436
Temperature tracking score_2,Intercept,0.6306755638533809,0.20569109850352169,3.0661295916146947,0.0024036503609550916,0.22752101078647835,1.0338301169202833
Temperature tracking score_2,Absolute latitude (°),-0.013374638593013091,0.0039053187961594063,-3.4247238935182613,7.178546069207855e-4,-0.021029063433485526,-0.005720213752540655
Temperature tracking score_2,Elevation (km),-0.038510904187496565,0.04933164527925102,-0.7806531480857445,0.43573631431163884,-0.13520092893482857,0.058179120559835436
